CREATE 1
CREATE 2
CREATE 3
CREATE 4
CREATE 5
CREATE 6
CREATE 7
CREATE 8
CREATE 9
CREATE 10
READ 1 1
READ 8 1
READ 2 1
WRITE 5 5
READ 5 5
WRITE 8 1
WRITE 10 2
WRITE 9 1
WRITE 6 5
READ 6 5
WRITE 9 3
WRITE 6 3
WRITE 6 1
READ 5 5
READ 6 2
READ 1 3
WRITE 4 3
READ 5 3
READ 3 1
WRITE 3 1
READ 1 5
WRITE 3 4
READ 10 5
READ 1 5
WRITE 10 4
READ 9 5
READ 3 2
READ 5 3
WRITE 2 3
WRITE 2 3
READ 2 2
WRITE 8 4
WRITE 4 3
WRITE 1 3
READ 5 1
WRITE 8 4
READ 2 2
WRITE 2 5
READ 4 4
WRITE 8 4
READ 4 4
WRITE 4 1
READ 1 5
READ 8 4
READ 8 2
READ 1 5
READ 2 1
WRITE 4 3
READ 10 2
READ 8 4
WRITE 4 5
WRITE 3 2
WRITE 2 4
READ 3 2
READ 3 2
WRITE 3 4
WRITE 5 4
READ 6 3
READ 3 4
READ 3 2
WRITE 6 2
READ 1 5
WRITE 1 1
READ 1 5
READ 9 3
WRITE 6 2
WRITE 8 5
READ 5 4
WRITE 9 5
READ 4 3
READ 6 5
WRITE 1 4
READ 1 4
READ 10 5
READ 5 5
READ 4 3
READ 6 1
WRITE 8 4
WRITE 10 3
READ 4 4
READ 9 5
READ 9 3
READ 10 4
READ 8 5
READ 5 4
READ 3 2
WRITE 5 4
WRITE 6 4
READ 10 5
WRITE 5 2
WRITE 6 3
READ 3 1
WRITE 3 4
READ 3 4
READ 4 5
WRITE 3 3
WRITE 4 3
READ 1 4
WRITE 10 4
READ 8 2
READ 1 5
READ 2 2
WRITE 8 4
WRITE 3 4
READ 3 2
READ 5 5
READ 8 4
READ 8 1
WRITE 2 1
READ 1 3
READ 10 5
READ 5 4
READ 6 2
WRITE 5 4
READ 1 4
WRITE 2 3
READ 9 1
READ 10 2
WRITE 3 1
READ 6 3
WRITE 1 1
WRITE 9 3
WRITE 8 4
WRITE 10 4
READ 9 4
READ 2 2
WRITE 4 3
READ 10 2
WRITE 2 5
WRITE 4 2
READ 3 3
READ 1 4
WRITE 3 2
READ 6 5
WRITE 3 5
READ 5 2
WRITE 6 2
READ 9 4
READ 1 5
READ 2 1
WRITE 9 2
WRITE 8 4
READ 1 4
WRITE 6 3
WRITE 6 1
WRITE 5 4
READ 4 5
READ 6 3
READ 1 1
READ 3 5
WRITE 3 5
WRITE 5 5
WRITE 4 4
READ 5 5
WRITE 2 2
READ 6 4
WRITE 3 4
READ 4 3
WRITE 1 5
WRITE 4 2
READ 1 3
READ 5 2
READ 4 5
READ 10 4
READ 9 4
WRITE 9 1
WRITE 10 4
WRITE 8 2
WRITE 6 3
WRITE 9 3
READ 6 4
READ 5 5
WRITE 4 1
WRITE 5 2
READ 10 3
READ 9 4
READ 5 4
READ 2 5
READ 2 4
READ 4 5
READ 5 1
READ 6 2
WRITE 2 2
READ 4 2
WRITE 3 3
WRITE 4 1
WRITE 3 3
WRITE 2 2
READ 3 5
READ 1 3
READ 4 3
READ 6 1
WRITE 8 5
WRITE 8 2
WRITE 3 1
READ 10 2
READ 1 5
WRITE 2 1
WRITE 10 5
READ 4 1
WRITE 5 2
READ 10 2
READ 10 1
READ 1 5
WRITE 9 5
READ 8 5
READ 6 5
WRITE 3 3
WRITE 2 5
WRITE 1 1
READ 5 4
READ 5 2
READ 2 5
READ 8 1
READ 2 1
READ 8 4
WRITE 10 3
WRITE 10 5
WRITE 9 5
READ 6 5
WRITE 2 2
WRITE 10 3
WRITE 6 5
WRITE 1 4
WRITE 1 2
WRITE 5 3
READ 8 2
WRITE 5 5
READ 1 4
READ 4 2
READ 9 4
READ 5 2
READ 3 4
WRITE 4 1
WRITE 1 5
WRITE 1 5
WRITE 5 4
READ 2 4
READ 9 1
WRITE 4 3
READ 10 1
READ 3 1
WRITE 5 2
WRITE 8 5
READ 1 2
WRITE 3 3
WRITE 2 4
READ 9 3
WRITE 4 1
READ 5 1
WRITE 10 3
READ 3 1
WRITE 1 2
WRITE 10 2
WRITE 3 5
WRITE 3 4
READ 5 5
READ 3 3
READ 9 2
READ 6 4
READ 8 5
WRITE 2 4
WRITE 4 5
READ 6 2
WRITE 9 4
READ 6 4
WRITE 5 3
WRITE 9 1
WRITE 3 1
WRITE 5 3
READ 8 2
READ 5 3
READ 6 5
WRITE 9 2
WRITE 8 4
READ 2 3
READ 2 1
READ 5 1
WRITE 10 3
WRITE 9 3
READ 2 1
READ 5 5
READ 3 1
WRITE 4 5
WRITE 5 1
READ 2 2
WRITE 5 3
WRITE 10 3
READ 9 2
WRITE 3 3
WRITE 5 5
READ 9 3
READ 8 5
WRITE 10 3
READ 8 1
WRITE 3 4
READ 3 3
WRITE 6 4
WRITE 8 4
READ 8 5
READ 3 5
READ 2 3
READ 5 3
READ 5 5
READ 3 2
WRITE 6 3
CLOSE 10
READ 2 3
READ 8 2
READ 1 1
READ 9 2
WRITE 1 5
WRITE 9 5
WRITE 5 3
WRITE 4 1
WRITE 1 2
READ 4 5
READ 1 2
WRITE 4 3
WRITE 4 1
WRITE 9 5
WRITE 4 5
READ 6 1
WRITE 4 3
READ 1 2
WRITE 6 4
READ 9 2
WRITE 6 3
READ 4 4
READ 6 4
READ 4 4
WRITE 9 1
READ 4 2
READ 5 4
READ 6 4
READ 8 4
WRITE 1 1
READ 8 2
WRITE 8 1
WRITE 9 1
READ 8 2
READ 1 5
READ 6 2
WRITE 5 2
READ 3 4
WRITE 5 3
READ 6 1
READ 4 5
READ 3 3
READ 6 5
READ 1 1
WRITE 2 5
WRITE 3 4
READ 1 5
READ 3 2
READ 4 2
WRITE 3 4
WRITE 3 5
WRITE 3 1
READ 8 2
READ 6 5
READ 3 3
READ 3 1
WRITE 6 4
WRITE 5 2
READ 9 1
READ 4 3
WRITE 3 3
READ 6 4
READ 6 5
READ 1 1
READ 3 5
WRITE 2 3
WRITE 6 3
READ 1 2
READ 4 5
READ 5 5
WRITE 4 2
WRITE 6 4
READ 5 3
WRITE 8 5
WRITE 5 3
WRITE 5 2
WRITE 1 2
READ 9 3
WRITE 6 1
READ 5 3
READ 3 1
WRITE 5 4
READ 8 4
READ 6 5
READ 8 1
READ 5 1
WRITE 4 5
WRITE 8 3
WRITE 1 2
READ 2 4
READ 9 1
READ 1 4
WRITE 2 3
WRITE 1 4
WRITE 3 5
WRITE 3 5
WRITE 9 2
WRITE 2 3
READ 8 5
WRITE 3 3
WRITE 8 5
WRITE 5 1
WRITE 3 2
READ 6 4
READ 9 3
WRITE 4 2
WRITE 9 4
WRITE 9 1
READ 4 5
WRITE 5 4
READ 5 4
WRITE 4 3
WRITE 2 3
READ 5 2
WRITE 6 3
WRITE 4 3
READ 5 5
READ 6 2
READ 4 4
READ 4 3
READ 4 4
WRITE 6 1
WRITE 3 4
WRITE 8 4
WRITE 4 4
READ 8 1
WRITE 4 3
READ 6 4
WRITE 8 4
WRITE 9 5
WRITE 4 3
READ 1 1
READ 5 4
WRITE 3 3
WRITE 4 3
WRITE 5 5
READ 6 5
READ 3 2
WRITE 4 2
READ 9 3
WRITE 1 1
WRITE 6 4
WRITE 1 1
WRITE 2 1
CLOSE 1
WRITE 8 5
WRITE 2 4
READ 9 1
READ 8 1
READ 5 1
READ 5 1
WRITE 8 2
READ 6 1
READ 5 4
READ 6 1
READ 8 5
READ 3 1
READ 4 3
READ 6 3
WRITE 5 2
READ 4 5
WRITE 6 1
WRITE 4 1
WRITE 5 2
WRITE 3 3
WRITE 5 3
READ 4 2
WRITE 8 1
READ 2 4
READ 9 5
WRITE 2 3
WRITE 6 2
READ 4 4
WRITE 4 2
READ 2 3
READ 6 4
READ 6 3
READ 6 1
READ 4 1
READ 4 1
READ 3 5
WRITE 8 1
READ 4 5
READ 5 2
WRITE 8 1
WRITE 5 5
WRITE 5 1
WRITE 4 5
WRITE 4 3
READ 5 4
READ 2 5
READ 5 3
READ 4 5
WRITE 2 4
WRITE 5 5
WRITE 9 4
WRITE 2 2
READ 6 3
WRITE 9 5
READ 9 1
WRITE 2 5
WRITE 2 2
WRITE 5 3
WRITE 6 3
WRITE 6 5
READ 2 1
READ 5 2
WRITE 9 4
READ 8 2
READ 2 1
READ 3 5
WRITE 8 4
WRITE 4 5
WRITE 9 1
WRITE 5 5
WRITE 5 5
WRITE 4 5
READ 9 2
READ 9 1
READ 9 3
READ 3 1
WRITE 8 5
WRITE 3 5
READ 5 4
WRITE 5 5
WRITE 4 1
WRITE 4 2
WRITE 2 2
WRITE 9 2
CLOSE 4
WRITE 5 3
READ 5 3
READ 6 5
READ 2 1
READ 5 4
WRITE 3 3
WRITE 6 2
READ 9 5
READ 8 3
WRITE 8 1
WRITE 8 4
WRITE 3 3
WRITE 8 4
READ 2 1
WRITE 9 3
WRITE 9 5
READ 2 3
READ 5 5
READ 9 4
WRITE 6 1
READ 8 2
WRITE 3 3
READ 5 1
READ 8 3
WRITE 5 3
WRITE 3 3
WRITE 8 4
READ 5 3
READ 9 4
WRITE 9 4
WRITE 3 5
WRITE 2 1
READ 9 4
WRITE 3 2
READ 9 1
READ 8 5
READ 9 1
WRITE 3 1
WRITE 8 5
READ 3 2
READ 5 2
WRITE 3 3
WRITE 8 5
WRITE 6 2
WRITE 8 3
READ 6 1
WRITE 6 3
READ 6 5
WRITE 5 1
WRITE 5 5
READ 3 5
WRITE 5 2
READ 9 4
READ 5 1
WRITE 6 3
READ 2 1
WRITE 8 4
READ 2 1
WRITE 6 5
WRITE 3 2
WRITE 6 5
WRITE 9 1
READ 8 1
WRITE 8 3
READ 6 3
READ 8 2
WRITE 8 4
WRITE 8 5
WRITE 3 3
WRITE 9 5
WRITE 9 1
WRITE 9 1
READ 8 5
READ 9 1
READ 8 2
READ 6 4
READ 6 4
WRITE 8 3
WRITE 9 4
READ 6 5
READ 5 3
READ 9 3
READ 3 1
READ 6 2
WRITE 8 2
READ 6 1
READ 6 4
WRITE 9 1
WRITE 8 1
READ 2 5
WRITE 5 4
READ 6 4
READ 2 2
READ 3 1
WRITE 9 4
WRITE 8 3
READ 5 5
READ 8 4
READ 3 5
READ 3 5
READ 9 1
READ 2 2
WRITE 3 1
WRITE 8 2
READ 5 5
READ 3 5
READ 9 3
WRITE 6 3
WRITE 8 3
READ 6 3
READ 3 2
WRITE 9 2
READ 3 3
WRITE 2 1
READ 6 2
READ 5 5
READ 2 2
READ 6 4
WRITE 5 1
READ 8 3
READ 2 3
WRITE 2 5
WRITE 6 2
WRITE 2 1
WRITE 9 2
WRITE 9 1
READ 9 4
READ 3 4
READ 5 4
READ 5 1
WRITE 2 5
READ 3 3
READ 2 3
WRITE 5 2
READ 8 1
WRITE 3 2
WRITE 3 2
WRITE 5 1
READ 8 3
WRITE 3 4
WRITE 3 3
WRITE 5 3
READ 5 1
WRITE 8 4
WRITE 8 1
READ 5 1
READ 9 4
READ 5 1
WRITE 6 1
READ 9 4
READ 6 3
READ 8 3
WRITE 8 4
READ 5 2
WRITE 8 2
READ 3 1
WRITE 3 5
WRITE 8 1
READ 3 1
READ 6 2
WRITE 6 2
READ 5 1
WRITE 8 5
READ 5 1
WRITE 3 2
WRITE 6 3
WRITE 3 4
READ 6 4
READ 5 5
WRITE 9 4
WRITE 3 5
WRITE 5 1
WRITE 5 5
READ 3 5
READ 9 4
WRITE 5 2
READ 8 3
WRITE 6 5
WRITE 3 3
WRITE 9 2
WRITE 9 3
WRITE 5 5
READ 9 4
READ 2 3
READ 3 1
READ 5 1
WRITE 9 2
READ 2 3
READ 3 1
READ 3 3
READ 2 3
WRITE 3 2
READ 5 5
READ 3 2
READ 9 5
WRITE 3 1
READ 8 4
READ 9 3
WRITE 3 2
READ 8 5
READ 9 4
WRITE 5 4
READ 8 5
WRITE 8 4
WRITE 8 3
READ 3 1
READ 6 1
WRITE 3 3
WRITE 3 4
WRITE 2 3
WRITE 2 1
WRITE 2 4
READ 6 4
READ 9 5
WRITE 8 3
WRITE 5 3
WRITE 2 3
READ 2 2
WRITE 5 1
READ 8 3
WRITE 9 5
WRITE 9 2
WRITE 8 4
READ 5 5
READ 6 1
READ 9 4
READ 9 1
WRITE 9 5
READ 2 1
WRITE 9 5
READ 3 2
WRITE 3 1
WRITE 2 2
READ 3 2
READ 8 3
WRITE 2 4
WRITE 2 4
WRITE 2 3
WRITE 8 5
READ 8 5
READ 9 2
WRITE 5 4
READ 3 2
WRITE 8 3
READ 9 4
READ 8 3
WRITE 9 2
WRITE 8 1
READ 5 1
READ 2 1
READ 3 2
WRITE 2 2
READ 9 5
WRITE 8 1
WRITE 9 5
WRITE 9 3
WRITE 8 4
WRITE 8 2
WRITE 2 2
READ 3 3
WRITE 6 5
WRITE 3 4
READ 3 4
READ 3 4
READ 9 2
READ 9 5
READ 3 1
READ 6 3
WRITE 3 2
READ 6 1
READ 3 2
WRITE 2 5
READ 6 4
WRITE 5 2
WRITE 5 5
WRITE 3 5
READ 8 5
WRITE 5 5
WRITE 9 1
WRITE 2 1
WRITE 5 4
READ 6 3
WRITE 3 3
READ 6 3
READ 5 1
READ 8 5
WRITE 2 2
READ 5 2
READ 9 3
READ 9 1
WRITE 9 2
READ 9 3
READ 2 4
READ 3 4
READ 2 3
WRITE 8 2
READ 5 3
READ 2 1
READ 5 3
READ 6 2
READ 2 5
READ 2 2
READ 5 3
READ 3 3
WRITE 6 3
READ 2 5
WRITE 3 4
READ 3 3
READ 6 4
READ 6 5
WRITE 8 3
WRITE 2 2
WRITE 5 4
WRITE 3 2
READ 2 1
WRITE 5 2
WRITE 5 2
WRITE 8 1
READ 5 3
READ 5 5
WRITE 2 4
READ 3 4
READ 5 3
READ 8 3
READ 2 1
WRITE 8 4
READ 9 1
READ 8 1
WRITE 9 1
READ 2 5
READ 9 1
READ 6 3
READ 9 2
READ 5 5
READ 5 2
READ 2 3
READ 5 1
READ 8 3
READ 2 1
READ 9 4
WRITE 3 2
WRITE 2 3
READ 9 5
READ 2 3
CLOSE 9
CLOSE 2
CLOSE 5
CLOSE 3
CLOSE 8
CLOSE 6
